GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
my-simple-stack,deqo.lalo.mysimplestack,SimpleStackImpl,0,68,0,6,0,16,0,9,0,6
my-simple-stack,deqo.lalo.mysimplestack,App,7,0,0,0,3,0,2,0,2,0
my-simple-stack,deqo.lalo.mysimplestack,Item,0,13,0,0,0,6,0,3,0,3
